"City","Year","Transaction Count","Total Revenue"
Atlanta,2020,22622,1190903.1
Boston,2020,23225,1214609.47
Chicago,2020,22873,1201438.3
Dallas,2020,22934,1202545.4
Houston,2020,22646,1183557.15
Los Angeles,2020,22911,1207616.86
Miami,2020,22860,1200501.04
New York,2020,22945,1212205.7
San Francisco,2020,22958,1210493.03
Seattle,2020,22733,1191680.5
Atlanta,2021,22611,1191746.98
Boston,2021,22663,1185426.1
Chicago,2021,22658,1189980.36
Dallas,2021,23048,1206506.85
Houston,2021,23036,1210788.5
Los Angeles,2021,22891,1195047.15
Miami,2021,22838,1197288.7
New York,2021,22754,1197097.13
San Francisco,2021,22658,1190284.83
Seattle,2021,23141,1204744.32
Atlanta,2022,22643,1188593.91
Boston,2022,22997,1207148.12
Chicago,2022,22809,1199193.76
Dallas,2022,22860,1200684.42
Houston,2022,22722,1189495.78
Los Angeles,2022,22815,1197797.63
Miami,2022,22702,1192753.71
New York,2022,22934,1200095.63
San Francisco,2022,22754,1190806.56
Seattle,2022,22582,1180463.38
Atlanta,2023,22491,1178550.46
Boston,2023,22925,1199645.15
Chicago,2023,23032,1217357.08
Dallas,2023,22917,1203755.03
Houston,2023,23022,1214284.45
Los Angeles,2023,22607,1181876.16
Miami,2023,22834,1198105.19
New York,2023,22739,1187392.33
San Francisco,2023,22857,1198862.91
Seattle,2023,23050,1203699.42
Atlanta,2024,8699,452937.39
Boston,2024,8756,456479.12
Chicago,2024,8687,455217.95
Dallas,2024,8800,463619.83
Houston,2024,8624,448928.9
Los Angeles,2024,8655,450055.39
Miami,2024,8605,451849.8
New York,2024,8635,455679.13
San Francisco,2024,8581,450652.53
Seattle,2024,8661,454777.81
