"Year","Payment_Method","Transaction Count","Total Transaction Value"
2020,Cash,57149,2997330.43
2020,Credit Card,57277,3003236.37
2020,Debit Card,57453,3023683.81
2020,Mobile Payment,56828,2991299.94
2021,Cash,57088,3001780.15
2021,Credit Card,57007,2987878.24
2021,Debit Card,57018,2973593.19
2021,Mobile Payment,57185,3005659.34
2022,Cash,57321,2996622.53
2022,Credit Card,56513,2976830.29
2022,Debit Card,57253,3006024.14
2022,Mobile Payment,56731,2967555.94
2023,Cash,57105,3007728.17
2023,Credit Card,57396,3010703.68
2023,Debit Card,56635,2955523.11
2023,Mobile Payment,57338,3009573.22
2024,Cash,21567,1129774.02
2024,Credit Card,21792,1145116.36
2024,Debit Card,21715,1136391.99
2024,Mobile Payment,21629,1128915.48
